behaviorSpaceRun,moranI,terr,mem,numPred
168,0.20578632299606858,None,Individual,4
169,0.2000711430653264,None,Individual,4
170,0.20354818928585613,None,Individual,4
171,0.22252815137400142,None,Individual,4
172,0.2358319946947024,None,Individual,4
173,0.20856573547841903,None,Individual,4
174,0.2109987941088224,None,Individual,4
175,0.22827589834965537,None,Individual,4
176,0.18210700686123765,None,Individual,4
177,0.1749193223844299,None,Individual,4
178,0.19288205085564594,None,Individual,4
179,0.22816842997134754,None,Individual,4
180,0.24879871682429539,None,Individual,4
181,0.21644945348818342,None,Individual,4
182,0.18845915414258127,None,Individual,4
183,0.22051649046251365,None,Individual,4
184,0.2314225567455805,None,Individual,4
185,0.20798985007499257,None,Individual,4
186,0.20267086439107349,None,Individual,4
187,0.19591919016607018,None,Individual,4
188,0.1811149255299726,None,Individual,4
189,0.20698779620260774,None,Individual,4
190,0.20367208139654297,None,Individual,4
191,0.21140477628122167,None,Individual,4
192,0.20566755578688375,None,Individual,4
193,0.21740835427007263,None,Individual,4
194,0.20499280297831915,None,Individual,4
195,0.19109560649281196,None,Individual,4
196,0.19737303390407537,None,Individual,4
197,0.18090141626076564,None,Individual,4
198,0.17269680218082625,None,Individual,4
199,0.21001782396720903,None,Individual,4
200,0.21208899790551192,None,Individual,4
1,0.27540344556065055,None,None,1
2,0.25057947913715717,None,None,1
3,0.25868139414456,None,None,1
4,0.25422789359397874,None,None,1
5,0.24508144664455797,None,None,1
6,0.25753526517725933,None,None,1
7,0.26415300287938887,None,None,1
8,0.26663464547474525,None,None,1
9,0.28552210320237437,None,None,1
10,0.25548942680569453,None,None,1
11,0.26873053600719377,None,None,1
12,0.2673490837305191,None,None,1
13,0.2609903095481446,None,None,1
14,0.27584966017099866,None,None,1
15,0.25875649549283253,None,None,1
16,0.2888023673289407,None,None,1
17,0.24593214127356366,None,None,1
18,0.2625164248916581,None,None,1
19,0.2659362436979862,None,None,1
20,0.24844630429294579,None,None,1
21,0.2598129140125121,None,None,1
22,0.2580333136707198,None,None,1
23,0.2720792446986446,None,None,1
24,0.23778543430927523,None,None,1
25,0.2556766213779772,None,None,1
26,0.25998690869306873,None,None,1
27,0.2510076943336111,None,None,1
28,0.250812697616673,None,None,1
29,0.2765836886361309,None,None,1
